,referencing,referenced,total_refs,direct_ref
0,1ed6a4a10589618d4f26350f1a296ee767ceff6b,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,1,True
1,1ed6a4a10589618d4f26350f1a296ee767ceff6b,5e07da2914783a21980ecc1cea688d1333e6b6e4,1,True
2,1ed6a4a10589618d4f26350f1a296ee767ceff6b,587a48cfd5c673dcecaafa11068867b31379568a,1,True
3,1ed6a4a10589618d4f26350f1a296ee767ceff6b,304bb526a1eed62ce34e28bdb7846a7e5b2ccd2b,1,True
4,1ed6a4a10589618d4f26350f1a296ee767ceff6b,db8d0e94175a54cd0faf93d9bee33a73f6bcdff9,1,True
5,1ed6a4a10589618d4f26350f1a296ee767ceff6b,e0f4e6a1368263582df142b025a0bc14d8a2b6dc,1,True
6,1ed6a4a10589618d4f26350f1a296ee767ceff6b,28d6b2370d930efd4c48f74bb28026b311b4777c,1,True
7,1ed6a4a10589618d4f26350f1a296ee767ceff6b,aebd8bab5cff769fed204dba35112e364a47e504,1,True
8,1ed6a4a10589618d4f26350f1a296ee767ceff6b,7c469b7f89043f4867b02938be67d786fc761827,1,True
9,1ed6a4a10589618d4f26350f1a296ee767ceff6b,1a014a076cac3c7f5d81a084e296c095f9230437,4,True
10,1ed6a4a10589618d4f26350f1a296ee767ceff6b,6a27853548e78d73eac74088bbd213a29b47772e,1,True
11,1ed6a4a10589618d4f26350f1a296ee767ceff6b,bde9ab741e1ca8e8ded4bea9422b72fa6fc3e910,2,True
12,1ed6a4a10589618d4f26350f1a296ee767ceff6b,8c25c36f141a121fb4a3765ebc5f256c46f19058,1,True
13,1ed6a4a10589618d4f26350f1a296ee767ceff6b,573580048a171654d4301e3fe25e82930971e079,2,True
14,1ed6a4a10589618d4f26350f1a296ee767ceff6b,75df1f1d045286c70ad16dc486bd65b4cde5773e,1,True
15,1ed6a4a10589618d4f26350f1a296ee767ceff6b,df4d07c1535fc9b98eff715d79dbc9d0a290e65d,1,True
16,1ed6a4a10589618d4f26350f1a296ee767ceff6b,89add45c9caad711b1972a5dab9d3f83a1c40ae4,2,True
17,1ed6a4a10589618d4f26350f1a296ee767ceff6b,218192dad90ade9b1d4389aa907fd642e698ad4e,2,True
18,1ed6a4a10589618d4f26350f1a296ee767ceff6b,4fadacdfc35d19a016e24223d778058c099f3bab,2,True
19,1ed6a4a10589618d4f26350f1a296ee767ceff6b,3e8809e95fde05760bfe07806f37f1b0e49da32f,1,True
20,1ed6a4a10589618d4f26350f1a296ee767ceff6b,532551ab6713a9fdab7c517401dd6d81b102c3dd,1,True
21,1ed6a4a10589618d4f26350f1a296ee767ceff6b,8fb70df00c8674ff7d5dd594c6908a609c9969d6,2,True
